time,n_replica,cpu_req_core,mem_req_KB,cpu_lim_core,mem_lim_KB,cpu_use_core,mem_use_KB
488.31,5,2.000,2816000,5,9175040,0.249726512,2218064
493.5,5,2.000,2816000,5,9175040,0.249726512,2218064
498.68,5,2.000,2816000,5,9175040,0.249726512,2218064
503.89,5,2.000,2816000,5,9175040,0.285609340,2251960
509.09,5,2.000,2816000,5,9175040,0.285609340,2251960
514.27,5,2.000,2816000,5,9175040,0.285609340,2251960
519.46,5,2.000,2816000,5,9175040,0.339699727,2235800
524.72,5,2.000,2816000,5,9175040,0.339699727,2235800
529.91,5,2.000,2816000,5,9175040,0.339699727,2235800
535.06,5,2.000,2816000,5,9175040,0.307436241,2244068
540.27,5,2.000,2816000,5,9175040,0.307436241,2244068
545.47,5,2.000,2816000,5,9175040,0.307436241,2244068
550.65,5,2.000,2816000,5,9175040,0.259604385,2251360
555.84,5,2.000,2816000,5,9175040,0.259604385,2251360
561.05,5,2.000,2816000,5,9175040,0.273969565,2236436
566.24,5,2.000,2816000,5,9175040,0.273969565,2236436
571.43,5,2.000,2816000,5,9175040,0.273969565,2236436
576.62,5,2.000,2816000,5,9175040,0.255924977,2219628
581.9,5,2.000,2816000,5,9175040,0.255924977,2219628
587.09,5,2.000,2816000,5,9175040,0.255924977,2219628
592.28,5,2.000,2816000,5,9175040,0.280629894,2250616
597.46,5,2.000,2816000,5,9175040,0.280629894,2250616
602.65,5,2.000,2816000,5,9175040,0.280629894,2250616
607.85,5,2.000,2816000,5,9175040,0.345589528,2237124
613.02,5,2.000,2816000,5,9175040,0.345589528,2237124
618.22,5,2.000,2816000,5,9175040,0.345589528,2237124
623.44,5,2.000,2816000,5,9175040,0.544745613,2359408
628.62,5,2.000,2816000,5,9175040,0.544745613,2359408
633.82,5,2.000,2816000,5,9175040,0.544745613,2359408
639.0,5,2.000,2816000,5,9175040,0.648943680,2318380
644.15,5,2.000,2816000,5,9175040,0.648943680,2318380
649.35,5,2.000,2816000,5,9175040,0.648943680,2318380
654.5,5,2.000,2816000,5,9175040,0.449735457,2407832
659.76,5,2.000,2816000,5,9175040,0.449735457,2407832
664.92,5,2.000,2816000,5,9175040,0.449735457,2407832
670.11,5,2.000,2816000,5,9175040,0.583114290,2462644
675.32,5,2.000,2816000,5,9175040,0.583114290,2462644
680.49,5,2.000,2816000,5,9175040,0.583114290,2462644
685.66,5,2.000,2816000,5,9175040,0.582740080,2473924
690.84,5,2.000,2816000,5,9175040,0.582740080,2473924
696.05,5,2.000,2816000,5,9175040,0.538625972,2488488
701.29,5,2.000,2816000,5,9175040,0.538625972,2488488
706.47,5,2.000,2816000,5,9175040,0.538625972,2488488
711.66,5,2.000,2816000,5,9175040,0.694790941,2540792
716.86,5,2.000,2816000,5,9175040,0.694790941,2540792
722.03,5,2.000,2816000,5,9175040,0.694790941,2540792
727.24,5,2.000,2816000,5,9175040,0.643889999,2670580
732.42,5,2.000,2816000,5,9175040,0.643889999,2670580
737.66,5,2.000,2816000,5,9175040,0.643889999,2670580
742.84,5,2.000,2816000,5,9175040,0.613159406,2623900
748.02,5,2.000,2816000,5,9175040,0.613159406,2623900
753.19,5,2.000,2816000,5,9175040,0.613159406,2623900
758.4,5,2.000,2816000,5,9175040,0.530697192,2613560
763.58,5,2.000,2816000,5,9175040,0.530697192,2613560
768.83,5,2.000,2816000,5,9175040,0.530697192,2613560
774.09,5,2.000,2816000,5,9175040,0.612973944,2682968
779.29,5,2.000,2816000,5,9175040,0.612973944,2682968
784.47,5,2.000,2816000,5,9175040,0.612973944,2682968
789.7,5,2.000,2816000,5,9175040,0.671470308,2714252
794.92,5,2.000,2816000,5,9175040,0.671470308,2714252
800.1,5,2.000,2816000,5,9175040,0.671470308,2714252
805.31,5,2.000,2816000,5,9175040,0.548013430,2776184
810.52,5,2.000,2816000,5,9175040,0.548013430,2776184
815.79,5,2.000,2816000,5,9175040,0.646563831,2815680
820.98,5,2.000,2816000,5,9175040,0.646563831,2815680
826.18,5,2.000,2816000,5,9175040,0.646563831,2815680
831.37,5,2.000,2816000,5,9175040,0.506166999,2804548
836.57,5,2.000,2816000,5,9175040,0.506166999,2804548
841.75,5,2.000,2816000,5,9175040,0.506166999,2804548
846.95,5,2.000,2816000,5,9175040,0.672621212,2850436
852.15,5,2.000,2816000,5,9175040,0.672621212,2850436
857.36,5,2.000,2816000,5,9175040,0.672621212,2850436
862.56,5,2.000,2816000,5,9175040,0.599559546,2886856
867.77,5,2.000,2816000,5,9175040,0.599559546,2886856
872.99,5,2.000,2816000,5,9175040,0.599559546,2886856
878.21,5,2.000,2816000,5,9175040,0.534930274,2805752
883.4,5,2.000,2816000,5,9175040,0.534930274,2805752
888.58,5,2.000,2816000,5,9175040,0.534930274,2805752
893.79,5,2.000,2816000,5,9175040,0.625960055,2836756
898.99,5,2.000,2816000,5,9175040,0.625960055,2836756
904.17,5,2.000,2816000,5,9175040,0.625960055,2836756
909.32,5,2.000,2816000,5,9175040,0.785942468,2921808
914.61,5,2.000,2816000,5,9175040,0.785942468,2921808
919.78,5,2.000,2816000,5,9175040,0.785942468,2921808
924.95,5,2.000,2816000,5,9175040,1.458616170,2867952
930.15,5,2.000,2816000,5,9175040,1.458616170,2867952
935.37,5,2.000,2816000,5,9175040,1.458616170,2867952
940.53,5,2.000,2816000,5,9175040,1.383873514,2904476
