time,n_replica,cpu_req_core,mem_req_KB,cpu_lim_core,mem_lim_KB,cpu_use_core,mem_use_KB
934.74,7,3.500,5376000,8.750,14680064,2.144214954,3457772
939.92,7,3.500,5376000,8.750,14680064,2.391734622,3564760
945.09,7,3.500,5376000,8.750,14680064,2.391734622,3564760
950.34,7,3.500,5376000,8.750,14680064,2.391734622,3564760
955.53,7,3.500,5376000,8.750,14680064,1.968572135,3566552
960.72,7,3.500,5376000,8.750,14680064,1.968572135,3566552
965.91,7,3.500,5376000,8.750,14680064,1.968572135,3566552
971.18,7,3.500,5376000,8.750,14680064,3.988634734,4391108
976.36,7,3.500,5376000,8.750,14680064,3.988634734,4391108
981.58,7,3.500,5376000,8.750,14680064,3.988634734,4391108
986.89,7,3.500,5376000,8.750,14680064,4.084214834,4517208
992.07,7,3.500,5376000,8.750,14680064,4.084214834,4517208
997.25,7,3.500,5376000,8.750,14680064,4.299759510,4579708
1002.42,7,3.500,5376000,8.750,14680064,4.299759510,4579708
1007.68,7,3.500,5376000,8.750,14680064,4.299759510,4579708
1012.86,7,3.500,5376000,8.750,14680064,2.537595208,4638156
1018.04,7,3.500,5376000,8.750,14680064,2.537595208,4638156
1023.27,7,3.500,5376000,8.750,14680064,2.537595208,4638156
1028.48,7,3.500,5376000,8.750,14680064,2.408963621,4826108
1033.66,7,3.500,5376000,8.750,14680064,2.408963621,4826108
1038.83,7,3.500,5376000,8.750,14680064,2.408963621,4826108
1044.07,7,3.500,5376000,8.750,14680064,2.391750942,4833924
1049.28,7,3.500,5376000,8.750,14680064,2.391750942,4833924
1054.47,7,3.500,5376000,8.750,14680064,2.391750942,4833924
1059.65,7,3.500,5376000,8.750,14680064,2.592995130,4942488
1064.94,7,3.500,5376000,8.750,14680064,2.592995130,4942488
1070.15,7,3.500,5376000,8.750,14680064,2.592995130,4942488
1075.32,7,3.500,5376000,8.750,14680064,2.262030383,4935392
1080.6,7,3.500,5376000,8.750,14680064,2.262030383,4935392
1085.76,7,3.500,5376000,8.750,14680064,2.262030383,4935392
1090.92,7,3.500,5376000,8.750,14680064,2.280896830,5042360
1096.15,7,3.500,5376000,8.750,14680064,2.280896830,5042360
1101.36,7,3.500,5376000,8.750,14680064,2.280896830,5042360
1106.6,7,3.500,5376000,8.750,14680064,2.522365689,5075024
1111.82,7,3.500,5376000,8.750,14680064,2.522365689,5075024
1117.03,7,3.500,5376000,8.750,14680064,2.234184755,5056428
1122.25,7,3.500,5376000,8.750,14680064,2.234184755,5056428
1127.54,7,3.500,5376000,8.750,14680064,2.234184755,5056428
1132.7,7,3.500,5376000,8.750,14680064,2.133483793,5155924
1137.95,7,3.500,5376000,8.750,14680064,2.133483793,5155924
1143.13,7,3.500,5376000,8.750,14680064,2.133483793,5155924
1148.32,7,3.500,5376000,8.750,14680064,2.401046899,5102432
1153.51,7,3.500,5376000,8.750,14680064,2.401046899,5102432
1158.74,7,3.500,5376000,8.750,14680064,2.401046899,5102432
1163.97,7,3.500,5376000,8.750,14680064,2.479964249,5265288
1169.17,7,3.500,5376000,8.750,14680064,2.479964249,5265288
1174.45,7,3.500,5376000,8.750,14680064,2.479964249,5265288
1179.65,7,3.500,5376000,8.750,14680064,2.367506623,5272612
1184.88,7,3.500,5376000,8.750,14680064,2.367506623,5272612
1190.06,7,3.500,5376000,8.750,14680064,2.367506623,5272612
1195.31,7,3.500,5376000,8.750,14680064,2.299111819,5385072
1200.53,7,3.500,5376000,8.750,14680064,2.299111819,5385072
1205.73,7,3.500,5376000,8.750,14680064,2.299111819,5385072
1210.98,7,3.500,5376000,8.750,14680064,2.229853721,5333264
1216.27,7,3.500,5376000,8.750,14680064,2.229853721,5333264
1221.53,7,3.500,5376000,8.750,14680064,2.229853721,5333264
1226.85,7,3.500,5376000,8.750,14680064,6.478815436,5603496
1232.11,7,3.500,5376000,8.750,14680064,6.478815436,5603496
1237.33,14,7.000,10752000,17.500,29360128,6.478815436,5603496
1242.72,14,7.000,10752000,17.500,29360128,7.032349934,5911132
1248.18,14,7.000,10752000,17.500,29360128,7.032349934,5911132
1253.48,20,10.000,15360000,25.000,41943040,8.153644117,7633040
1259.03,20,10.000,15360000,25.000,41943040,8.153644117,7633040
1264.56,20,10.000,15360000,25.000,41943040,8.153644117,7633040
1270.08,20,10.000,15360000,25.000,41943040,10.750991031,10113356
1275.51,20,10.000,15360000,25.000,41943040,10.750991031,10113356
1281.05,20,10.000,15360000,25.000,41943040,10.750991031,10113356
1288.08,20,10.000,15360000,25.000,41943040,10.759008807,11125676
1293.59,20,10.000,15360000,25.000,41943040,10.759008807,11125676
1299.12,20,10.000,15360000,25.000,41943040,10.870240601,11304228
1304.57,20,10.000,15360000,25.000,41943040,10.870240601,11304228
1310.28,20,10.000,15360000,25.000,41943040,10.870240601,11304228
1315.93,20,10.000,15360000,25.000,41943040,10.856406332,11418232
1321.68,20,10.000,15360000,25.000,41943040,10.856406332,11418232
1327.37,20,10.000,15360000,25.000,41943040,10.862358354,11405696
1332.93,20,10.000,15360000,25.000,41943040,10.862358354,11405696
1338.32,20,10.000,15360000,25.000,41943040,10.862358354,11405696
1343.99,20,10.000,15360000,25.000,41943040,9.080492118,11779824
1349.62,20,10.000,15360000,25.000,41943040,9.080492118,11779824
1354.99,20,10.000,15360000,25.000,41943040,9.080492118,11779824
1360.42,20,10.000,15360000,25.000,41943040,7.352488787,12083164
1365.9,20,10.000,15360000,25.000,41943040,7.352488787,12083164
1371.18,20,10.000,15360000,25.000,41943040,7.352488787,12083164
1377.21,20,10.000,15360000,25.000,41943040,7.842142091,12652968
1382.59,20,10.000,15360000,25.000,41943040,7.842142091,12652968
1387.91,20,10.000,15360000,25.000,41943040,8.143611093,13069828
1393.18,20,10.000,15360000,25.000,41943040,8.143611093,13069828
1398.64,20,10.000,15360000,25.000,41943040,8.143611093,13069828
1404.02,20,10.000,15360000,25.000,41943040,8.049016197,13596880
1409.41,20,10.000,15360000,25.000,41943040,8.049016197,13596880
1414.74,20,10.000,15360000,25.000,41943040,8.049016197,13596880
1420.21,20,10.000,15360000,25.000,41943040,7.927049326,13912332
1425.44,20,10.000,15360000,25.000,41943040,7.927049326,13912332
1430.88,20,10.000,15360000,25.000,41943040,7.927049326,13912332
1436.43,20,10.000,15360000,25.000,41943040,7.978440806,14200232
1441.79,20,10.000,15360000,25.000,41943040,7.978440806,14200232
1447.44,20,10.000,15360000,25.000,41943040,7.783527593,14411884
1452.83,20,10.000,15360000,25.000,41943040,7.783527593,14411884
1458.42,20,10.000,15360000,25.000,41943040,7.783527593,14411884
1463.76,20,10.000,15360000,25.000,41943040,7.868098380,14658284
1469.05,20,10.000,15360000,25.000,41943040,7.868098380,14658284
1474.42,20,10.000,15360000,25.000,41943040,7.868098380,14658284
1479.94,20,10.000,15360000,25.000,41943040,7.704592468,14881252
1485.38,20,10.000,15360000,25.000,41943040,7.704592468,14881252
1490.69,20,10.000,15360000,25.000,41943040,7.704592468,14881252
1496.19,20,10.000,15360000,25.000,41943040,8.016865945,15009092
1501.6,20,10.000,15360000,25.000,41943040,8.016865945,15009092
1507.18,20,10.000,15360000,25.000,41943040,7.664075116,15194224
1512.7,20,10.000,15360000,25.000,41943040,7.664075116,15194224
1518.2,20,10.000,15360000,25.000,41943040,7.664075116,15194224
1523.74,20,10.000,15360000,25.000,41943040,9.201196282,15524548
1529.27,20,10.000,15360000,25.000,41943040,9.201196282,15524548
1534.66,20,10.000,15360000,25.000,41943040,9.201196282,15524548
1539.99,20,10.000,15360000,25.000,41943040,8.640819440,15769480
1545.24,20,10.000,15360000,25.000,41943040,8.640819440,15769480
1550.62,20,10.000,15360000,25.000,41943040,8.640819440,15769480
1556.19,20,10.000,15360000,25.000,41943040,8.519913104,16093936
1561.61,20,10.000,15360000,25.000,41943040,8.519913104,16093936
1567.87,20,10.000,15360000,25.000,41943040,7.307888903,16241020
1573.56,20,10.000,15360000,25.000,41943040,7.307888903,16241020
1579.18,20,10.000,15360000,25.000,41943040,7.307888903,16241020
1585.03,20,10.000,15360000,25.000,41943040,7.560901888,16368328
1590.48,20,10.000,15360000,25.000,41943040,7.560901888,16368328
1595.92,20,10.000,15360000,25.000,41943040,7.560901888,16368328
1601.79,20,10.000,15360000,25.000,41943040,7.827222658,16379952
1607.29,20,10.000,15360000,25.000,41943040,7.827222658,16379952
1612.54,20,10.000,15360000,25.000,41943040,8.277755515,16478032
1617.86,20,10.000,15360000,25.000,41943040,8.277755515,16478032
1623.32,20,10.000,15360000,25.000,41943040,8.277755515,16478032
1628.72,20,10.000,15360000,25.000,41943040,8.282318729,16476816
1634.42,20,10.000,15360000,25.000,41943040,8.282318729,16476816
1639.9,20,10.000,15360000,25.000,41943040,8.282318729,16476816
1645.55,20,10.000,15360000,25.000,41943040,8.000728609,16843940
1651.05,20,10.000,15360000,25.000,41943040,8.000728609,16843940
1656.53,20,10.000,15360000,25.000,41943040,8.000728609,16843940
1662.2,20,10.000,15360000,25.000,41943040,8.607005192,16832016
1667.69,20,10.000,15360000,25.000,41943040,8.607005192,16832016
1673.39,20,10.000,15360000,25.000,41943040,8.835560061,17150524
1678.69,20,10.000,15360000,25.000,41943040,8.835560061,17150524
1683.95,20,10.000,15360000,25.000,41943040,8.835560061,17150524
1689.3,20,10.000,15360000,25.000,41943040,8.592343274,17083316
1694.83,20,10.000,15360000,25.000,41943040,8.592343274,17083316
1700.39,20,10.000,15360000,25.000,41943040,8.592343274,17083316
1705.9,20,10.000,15360000,25.000,41943040,7.705405791,17057820
1711.47,20,10.000,15360000,25.000,41943040,7.705405791,17057820
1716.98,20,10.000,15360000,25.000,41943040,7.705405791,17057820
1722.72,20,10.000,15360000,25.000,41943040,8.074112959,17125008
1728.19,20,10.000,15360000,25.000,41943040,8.074112959,17125008
1733.82,20,10.000,15360000,25.000,41943040,8.503590889,17225428
1739.51,20,10.000,15360000,25.000,41943040,8.503590889,17225428
1745.0,20,10.000,15360000,25.000,41943040,8.503590889,17225428
1750.46,20,10.000,15360000,25.000,41943040,8.528122367,17195072
1755.77,20,10.000,15360000,25.000,41943040,8.528122367,17195072
1761.05,20,10.000,15360000,25.000,41943040,8.528122367,17195072
1766.49,20,10.000,15360000,25.000,41943040,7.733893032,17570184
1772.08,20,10.000,15360000,25.000,41943040,7.733893032,17570184
1777.64,20,10.000,15360000,25.000,41943040,8.806941915,17292324
1783.78,20,10.000,15360000,25.000,41943040,8.806941915,17292324
1789.35,20,10.000,15360000,25.000,41943040,8.806941915,17292324
1794.66,20,10.000,15360000,25.000,41943040,8.104766289,17320884
1800.02,20,10.000,15360000,25.000,41943040,8.104766289,17320884
1805.26,20,10.000,15360000,25.000,41943040,8.104766289,17320884
1810.61,20,10.000,15360000,25.000,41943040,8.303364101,17436732
1815.87,20,10.000,15360000,25.000,41943040,8.303364101,17436732
1821.11,20,10.000,15360000,25.000,41943040,8.303364101,17436732
1826.63,20,10.000,15360000,25.000,41943040,2.068859834,17480440
1832.05,20,10.000,15360000,25.000,41943040,2.068859834,17480440
1837.27,20,10.000,15360000,25.000,41943040,1.534905972,17288592
1842.54,20,10.000,15360000,25.000,41943040,1.534905972,17288592
1847.76,20,10.000,15360000,25.000,41943040,1.534905972,17288592
1852.99,20,10.000,15360000,25.000,41943040,1.464574088,17296844
1858.26,20,10.000,15360000,25.000,41943040,1.464574088,17296844
1863.52,20,10.000,15360000,25.000,41943040,1.464574088,17296844
1868.74,20,10.000,15360000,25.000,41943040,1.427282522,17251992
1874.05,20,10.000,15360000,25.000,41943040,1.427282522,17251992
1879.28,20,10.000,15360000,25.000,41943040,1.427282522,17251992
1884.55,20,10.000,15360000,25.000,41943040,1.471381257,17162600
1889.81,20,10.000,15360000,25.000,41943040,1.471381257,17162600
1895.02,20,10.000,15360000,25.000,41943040,1.471381257,17162600
1900.25,20,10.000,15360000,25.000,41943040,1.452952344,17019780
1905.58,20,10.000,15360000,25.000,41943040,1.452952344,17019780
1910.84,20,10.000,15360000,25.000,41943040,1.452952344,17019780
1916.29,20,10.000,15360000,25.000,41943040,1.455741105,16975780
1921.56,20,10.000,15360000,25.000,41943040,1.455741105,16975780
1926.92,20,10.000,15360000,25.000,41943040,1.406654537,17026556
1932.24,20,10.000,15360000,25.000,41943040,1.406654537,17026556
1937.51,20,10.000,15360000,25.000,41943040,1.406654537,17026556
1942.75,20,10.000,15360000,25.000,41943040,1.432595951,17015292
1948.1,20,10.000,15360000,25.000,41943040,1.432595951,17015292
1953.33,20,10.000,15360000,25.000,41943040,1.432595951,17015292
1958.57,20,10.000,15360000,25.000,41943040,1.423956743,16993092
1963.85,20,10.000,15360000,25.000,41943040,1.423956743,16993092
1969.06,20,10.000,15360000,25.000,41943040,1.423956743,16993092
1974.31,20,10.000,15360000,25.000,41943040,1.427843514,17033108
1979.59,20,10.000,15360000,25.000,41943040,1.427843514,17033108
1984.81,20,10.000,15360000,25.000,41943040,1.427843514,17033108
1990.2,20,10.000,15360000,25.000,41943040,1.373592553,16968880
1995.44,20,10.000,15360000,25.000,41943040,1.373592553,16968880
2000.67,20,10.000,15360000,25.000,41943040,1.373592553,16968880
2005.93,20,10.000,15360000,25.000,41943040,1.429142047,16972548
2011.14,20,10.000,15360000,25.000,41943040,1.429142047,16972548
2016.36,20,10.000,15360000,25.000,41943040,1.429142047,16972548
2021.71,20,10.000,15360000,25.000,41943040,1.461345030,16885908
2027.06,20,10.000,15360000,25.000,41943040,1.461345030,16885908
2032.37,20,10.000,15360000,25.000,41943040,1.437068418,16903352
2037.59,20,10.000,15360000,25.000,41943040,1.437068418,16903352
2042.82,20,10.000,15360000,25.000,41943040,1.437068418,16903352
2048.09,20,10.000,15360000,25.000,41943040,1.367476508,16931924
2053.31,20,10.000,15360000,25.000,41943040,1.367476508,16931924
2058.53,20,10.000,15360000,25.000,41943040,1.367476508,16931924
2063.78,20,10.000,15360000,25.000,41943040,1.416217763,16943624
2069.04,20,10.000,15360000,25.000,41943040,1.416217763,16943624
2074.27,20,10.000,15360000,25.000,41943040,1.416217763,16943624
2079.56,20,10.000,15360000,25.000,41943040,1.369859357,16939108
2084.86,20,10.000,15360000,25.000,41943040,1.369859357,16939108
2090.07,20,10.000,15360000,25.000,41943040,1.369859357,16939108
2095.35,20,10.000,15360000,25.000,41943040,1.447949131,16916768
2100.57,20,10.000,15360000,25.000,41943040,1.447949131,16916768
2105.86,20,10.000,15360000,25.000,41943040,1.447949131,16916768
2111.25,19,9.500,14592000,23.750,39845888,1.333375781,16939688
2116.59,19,9.500,14592000,23.750,39845888,1.333375781,16939688
2121.98,19,9.500,14592000,23.750,39845888,1.333375781,16939688
2127.22,19,9.500,14592000,23.750,39845888,1.437724538,16929220
2132.46,19,9.500,14592000,23.750,39845888,1.437724538,16929220
2137.74,19,9.500,14592000,23.750,39845888,1.444751569,16956640
2142.96,19,9.500,14592000,23.750,39845888,1.444751569,16956640
2148.4,6,3.000,4608000,7.500,12582912,0.487981550,5218596
2153.63,6,3.000,4608000,7.500,12582912,0.497223297,5205752
2158.82,5,2.500,3840000,6.250,10485760,0.433597339,4362408
2164.0,5,2.500,3840000,6.250,10485760,0.433597339,4362408
2169.15,5,2.500,3840000,6.250,10485760,0.397684036,4373376
2174.34,5,2.500,3840000,6.250,10485760,0.397684036,4373376
2179.53,5,2.500,3840000,6.250,10485760,0.397684036,4373376
2184.69,5,2.500,3840000,6.250,10485760,0.445412032,4382360
2189.96,5,2.500,3840000,6.250,10485760,0.445412032,4382360
2195.14,5,2.500,3840000,6.250,10485760,0.445412032,4382360
2200.33,5,2.500,3840000,6.250,10485760,0.409621723,4387700
